service_request_id,requested_datetime,service_name,agency_responsible,zipcode,status,days_to_close,lat,lon
1000087,2023-03-27 13:24:00,Illegal Dumping,License & Inspections,19106,Closed,7.47,39.9581,-75.16389
1000092,2023-03-28 04:57:00,Pothole Repair,Parks & Recreation,19149,Closed,18.53,39.92903,-75.1176
1000370,2023-03-28 17:59:00,Abandoned Vehicle,Streets Department,19102,Closed,4.21,39.88765,-75.07255
1000269,2023-03-30 07:55:00,Graffiti Removal,Streets Department,19125,Closed,18.19,39.92311,-75.15162
1000116,2023-03-31 05:46:00,Illegal Dumping,Parks & Recreation,19134,Open,6.65,39.95452,-75.07947
1000169,2023-04-01 19:32:00,Rubbish Collection,Parks & Recreation,19125,Closed,5.64,39.97849,-75.16577
1000201,2023-04-03 01:23:00,Abandoned Vehicle,License & Inspections,19119,Closed,13.76,39.92743,-75.08584
1000352,2023-04-05 11:29:00,Illegal Dumping,Streets Department,19106,Closed,6.39,39.91373,-75.22079
1000170,2023-04-06 13:04:00,Traffic Signal Emergency,License & Inspections,19102,Closed,9.41,39.92658,-75.19761
1000117,2023-04-08 22:40:00,Illegal Dumping,Parks & Recreation,19125,In Progress,11.34,39.9542,-75.1903
1000294,2023-04-09 17:32:00,Traffic Signal Emergency,Parks & Recreation,19123,Closed,16.97,39.96453,-75.13283
1000060,2023-04-10 14:22:00,Pothole Repair,Streets Department,19107,Closed,7.44,39.95534,-75.14792
1000026,2023-04-12 02:12:00,Traffic Signal Emergency,Parks & Recreation,19146,Closed,17.69,39.94335,-75.20703
1000292,2023-04-12 03:10:00,Traffic Signal Emergency,License & Inspections,19146,Closed,5.52,39.82735,-75.1408
1000325,2023-04-15 11:04:00,Abandoned Vehicle,License & Inspections,19107,In Progress,20.39,39.89304,-75.11108
1000335,2023-04-16 03:20:00,Maintenance Residential or Commercial,Streets Department,19119,Closed,8.89,39.93652,-75.19645
1000278,2023-04-16 16:51:00,Street Light Outage,Streets Department,19121,Open,30.87,39.90955,-75.21087
1000101,2023-04-17 22:31:00,Illegal Dumping,Streets Department,19134,Closed,8.17,39.98889,-75.23096
1000157,2023-04-25 22:02:00,Rubbish Collection,Streets Department,19148,Closed,24.26,39.75181,-75.15872
1000193,2023-04-26 02:20:00,Street Light Outage,Police Department,19147,Closed,8.03,39.95055,-75.22277
1000376,2023-04-26 17:04:00,Maintenance Residential or Commercial,Streets Department,19107,Closed,7.17,39.92533,-75.16972
1000159,2023-04-28 00:57:00,Pothole Repair,License & Inspections,19145,In Progress,6.22,39.9295,-75.09509
1000265,2023-04-29 05:53:00,Graffiti Removal,License & Inspections,19147,Closed,13.96,39.96277,-75.20076
1000042,2023-05-03 02:25:00,Rubbish Collection,License & Inspections,19147,Closed,30.82,39.90234,-75.20393
1000397,2023-05-03 23:33:00,Pothole Repair,Parks & Recreation,19125,Closed,21.91,39.96189,-75.15099
1000218,2023-05-05 08:48:00,Maintenance Residential or Commercial,Police Department,19148,Open,3.94,39.8739,-75.20757
1000313,2023-05-05 12:27:00,Street Light Outage,Police Department,19139,In Progress,13.47,39.97267,-75.09751
1000127,2023-05-06 01:07:00,Street Light Outage,Police Department,19145,Closed,31.74,39.90976,-75.12635
1000336,2023-05-07 05:49:00,Illegal Dumping,Streets Department,19132,Closed,13.63,39.90268,-75.21077
1000275,2023-05-09 10:39:00,Maintenance Residential or Commercial,Streets Department,19132,Closed,20.76,39.90093,-75.26388
1000056,2023-05-10 09:02:00,Rubbish Collection,Streets Department,19132,Open,10.85,39.99037,-75.14843
1000097,2023-05-11 21:32:00,Traffic Signal Emergency,Streets Department,19104,Closed,16.67,39.98271,-75.24381
1000125,2023-05-11 22:11:00,Rubbish Collection,Streets Department,19119,Open,10.62,39.91371,-75.14702
1000184,2023-05-12 09:53:00,Traffic Signal Emergency,Police Department,19106,Closed,7.94,39.89902,-75.2222
1000258,2023-05-12 10:19:00,Abandoned Vehicle,License & Inspections,19123,Closed,19.8,40.0148,-75.15147
1000382,2023-05-12 12:31:00,Street Light Outage,Streets Department,19149,Closed,18.27,40.02443,-75.14098
1000039,2023-05-13 23:43:00,Pothole Repair,Streets Department,19123,Open,12.72,39.98426,-75.21474
1000063,2023-05-16 07:42:00,Traffic Signal Emergency,Streets Department,19125,Closed,12.65,39.89103,-75.21329
1000320,2023-05-18 05:20:00,Pothole Repair,License & Inspections,19146,Closed,2.92,39.96891,-75.17503
1000161,2023-05-20 08:28:00,Street Light Outage,Streets Department,19106,Closed,7.8,39.93623,-75.15436
1000373,2023-05-23 10:13:00,Pothole Repair,License & Inspections,19119,In Progress,11.55,39.93266,-75.0874
1000167,2023-05-25 02:58:00,Rubbish Collection,License & Inspections,19102,In Progress,5.01,39.94765,-75.10592
1000238,2023-05-25 09:13:00,Street Light Outage,Police Department,19119,Closed,17.53,39.86392,-75.15108
1000384,2023-05-26 13:00:00,Abandoned Vehicle,License & Inspections,19149,In Progress,9.2,39.98962,-75.21403
1000111,2023-05-27 21:56:00,Maintenance Residential or Commercial,Police Department,19139,Closed,6.36,39.92693,-75.10535
1000121,2023-05-30 14:35:00,Rubbish Collection,License & Inspections,19119,In Progress,7.43,39.93603,-75.23375
1000162,2023-05-31 06:43:00,Illegal Dumping,License & Inspections,19143,Closed,19.58,39.89994,-75.18039
1000344,2023-06-01 08:38:00,Traffic Signal Emergency,Parks & Recreation,19123,Open,7.29,40.02317,-75.17584
1000224,2023-06-01 09:01:00,Rubbish Collection,Parks & Recreation,19107,Closed,7.67,40.05975,-75.07734
1000240,2023-06-02 14:49:00,Graffiti Removal,Parks & Recreation,19102,Closed,19.95,39.94222,-75.15844
1000126,2023-06-04 21:31:00,Maintenance Residential or Commercial,Streets Department,19134,Closed,12.65,39.97765,-75.17914
1000094,2023-06-09 04:27:00,Maintenance Residential or Commercial,Parks & Recreation,19149,Closed,13.8,39.93556,-75.1844
1000390,2023-06-12 11:52:00,Pothole Repair,License & Inspections,19106,Closed,10.87,39.98224,-75.23924
1000155,2023-06-20 13:19:00,Street Light Outage,Police Department,19147,Open,25.69,39.92042,-75.21348
1000356,2023-06-22 11:22:00,Illegal Dumping,License & Inspections,19121,Open,21.89,39.93648,-75.21095
1000379,2023-06-25 00:09:00,Abandoned Vehicle,Parks & Recreation,19106,Open,5.62,40.01418,-75.24132
1000257,2023-06-27 23:30:00,Street Light Outage,Streets Department,19130,Closed,4.18,39.98569,-75.17266
1000346,2023-06-30 06:54:00,Pothole Repair,License & Inspections,19125,Closed,19.64,40.01088,-75.2696
1000274,2023-06-30 09:06:00,Rubbish Collection,Streets Department,19148,In Progress,19.97,39.93776,-75.2174
1000399,2023-06-30 21:01:00,Rubbish Collection,Police Department,19143,Closed,13.61,39.97926,-75.22145
1000239,2023-07-03 20:27:00,Abandoned Vehicle,Parks & Recreation,19149,In Progress,13.03,39.9648,-75.11147
1000145,2023-07-07 16:31:00,Street Light Outage,Police Department,19130,In Progress,19.39,39.87843,-75.16544
1000081,2023-07-09 09:56:00,Illegal Dumping,License & Inspections,19132,Closed,7.75,39.99369,-75.13856
1000055,2023-07-10 10:46:00,Rubbish Collection,License & Inspections,19134,Open,5.69,39.91452,-75.12265
1000105,2023-07-10 23:03:00,Maintenance Residential or Commercial,License & Inspections,19106,Closed,11.94,39.88199,-75.11829
1000093,2023-07-13 14:38:00,Street Light Outage,Streets Department,19106,Closed,9.79,39.92774,-75.15664
1000230,2023-07-13 21:49:00,Street Light Outage,Streets Department,19143,Closed,7.37,39.97682,-75.12847
1000176,2023-07-14 20:17:00,Illegal Dumping,License & Inspections,19132,In Progress,6.11,39.91966,-75.26235
1000080,2023-07-14 20:56:00,Maintenance Residential or Commercial,License & Inspections,19119,In Progress,14.26,39.95088,-75.14464
1000141,2023-07-19 23:32:00,Rubbish Collection,License & Inspections,19130,In Progress,24.67,40.01014,-75.14384
1000098,2023-07-21 13:25:00,Maintenance Residential or Commercial,License & Inspections,19132,In Progress,16.26,39.94384,-75.06899
1000287,2023-07-23 20:03:00,Pothole Repair,License & Inspections,19107,Closed,13.11,39.96526,-75.137
1000368,2023-07-24 18:48:00,Illegal Dumping,License & Inspections,19102,Closed,2.96,39.8891,-75.10404
1000011,2023-07-26 00:43:00,Graffiti Removal,Police Department,19125,Open,10.34,39.8001,-75.0545
1000358,2023-07-27 03:29:00,Abandoned Vehicle,Police Department,19107,Closed,13.4,40.00399,-75.18368
1000217,2023-08-02 02:37:00,Maintenance Residential or Commercial,Streets Department,19106,Closed,10.59,39.95835,-75.18841
1000316,2023-08-03 18:07:00,Illegal Dumping,Police Department,19106,Closed,12.42,39.84014,-75.062
1000002,2023-08-08 00:37:00,Maintenance Residential or Commercial,License & Inspections,19139,Closed,6.99,39.93961,-75.1865
1000129,2023-08-11 09:58:00,Street Light Outage,Parks & Recreation,19147,Closed,29.37,39.9786,-75.253
1000104,2023-08-13 08:38:00,Illegal Dumping,Police Department,19130,Closed,5.05,39.99291,-75.19411
1000174,2023-08-13 16:23:00,Pothole Repair,Police Department,19148,In Progress,10.62,39.94796,-75.23832
1000208,2023-08-15 03:50:00,Traffic Signal Emergency,Police Department,19132,Closed,24.41,39.94632,-75.10042
1000030,2023-08-16 05:53:00,Rubbish Collection,Streets Department,19104,Open,37.04,39.90496,-75.21744
1000305,2023-08-16 06:39:00,Abandoned Vehicle,Police Department,19119,Closed,10.61,39.93797,-75.20462
1000332,2023-08-17 02:41:00,Street Light Outage,Parks & Recreation,19132,In Progress,8.0,39.9257,-75.1781
1000360,2023-08-26 05:10:00,Maintenance Residential or Commercial,License & Inspections,19121,Closed,10.46,39.96936,-75.16042
1000064,2023-08-26 14:27:00,Graffiti Removal,Police Department,19106,Closed,11.75,39.91475,-75.25363
1000273,2023-08-28 08:40:00,Maintenance Residential or Commercial,Parks & Recreation,19102,Closed,7.23,40.02105,-75.1696
1000168,2023-08-29 07:13:00,Traffic Signal Emergency,Parks & Recreation,19149,Closed,7.85,40.00109,-75.22677
1000286,2023-08-30 14:19:00,Illegal Dumping,Police Department,19149,Closed,15.47,39.92399,-75.21525
1000147,2023-09-01 10:28:00,Street Light Outage,Parks & Recreation,19130,Open,12.72,39.98171,-75.08436
1000297,2023-09-05 16:23:00,Illegal Dumping,Streets Department,19147,Closed,24.16,39.89789,-75.20765
1000226,2023-09-06 19:22:00,Traffic Signal Emergency,Police Department,19121,Open,16.68,39.93488,-75.26897
1000043,2023-09-06 19:34:00,Rubbish Collection,License & Inspections,19107,Closed,14.89,39.9147,-75.21788
1000037,2023-09-06 20:36:00,Graffiti Removal,License & Inspections,19104,Closed,21.94,39.93376,-75.13793
1000289,2023-09-07 01:39:00,Graffiti Removal,Police Department,19119,Open,23.45,39.88781,-75.16554
1000005,2023-09-07 12:22:00,Traffic Signal Emergency,Police Department,19145,Closed,4.42,39.91367,-75.13349
1000248,2023-09-11 18:41:00,Maintenance Residential or Commercial,License & Inspections,19106,Open,11.06,39.99572,-75.17058
1000044,2023-09-13 16:40:00,Street Light Outage,Police Department,19139,In Progress,9.65,39.88224,-75.10707
1000196,2023-09-16 19:24:00,Abandoned Vehicle,Police Department,19132,Closed,21.46,39.99522,-75.19524
1000262,2023-09-23 22:14:00,Illegal Dumping,License & Inspections,19134,Closed,1.97,39.89378,-75.21036
1000045,2023-09-29 22:15:00,Street Light Outage,Parks & Recreation,19104,In Progress,10.35,39.95982,-75.08102
1000342,2023-10-01 23:02:00,Street Light Outage,Parks & Recreation,19134,Closed,12.07,40.01793,-75.22687
1000156,2023-10-02 08:28:00,Abandoned Vehicle,Police Department,19119,Closed,10.5,40.00008,-75.20075
1000136,2023-10-03 08:38:00,Graffiti Removal,Parks & Recreation,19134,Open,8.03,39.84872,-75.06928
1000244,2023-10-05 12:56:00,Pothole Repair,Police Department,19104,Open,6.46,39.96843,-75.20571
1000363,2023-10-06 13:14:00,Abandoned Vehicle,Police Department,19104,Open,2.6,39.99285,-75.22528
1000361,2023-10-07 18:32:00,Rubbish Collection,License & Inspections,19102,Closed,27.89,39.9389,-75.14112
1000209,2023-10-08 21:23:00,Illegal Dumping,Parks & Recreation,19148,Closed,15.98,39.98699,-75.17215
1000366,2023-10-13 11:30:00,Graffiti Removal,Streets Department,19132,In Progress,8.62,39.96516,-75.11279
1000154,2023-10-14 01:42:00,Rubbish Collection,Police Department,19143,Closed,4.76,39.98789,-75.04947
1000138,2023-10-15 07:50:00,Street Light Outage,Parks & Recreation,19123,Closed,12.95,39.96155,-75.21597
1000173,2023-10-15 16:53:00,Maintenance Residential or Commercial,License & Inspections,19107,Closed,10.63,40.00161,-75.1387
1000267,2023-10-16 21:09:00,Graffiti Removal,Police Department,19149,Closed,14.88,39.97912,-75.16692
1000235,2023-10-18 03:41:00,Traffic Signal Emergency,Streets Department,19147,Closed,6.37,39.92982,-75.19562
1000219,2023-10-18 23:37:00,Pothole Repair,License & Inspections,19102,Closed,18.87,39.97044,-75.12875
1000324,2023-10-19 09:09:00,Graffiti Removal,License & Inspections,19121,Closed,14.71,39.95959,-75.14568
1000197,2023-10-21 05:51:00,Traffic Signal Emergency,Police Department,19139,Closed,21.17,39.96116,-75.05982
1000082,2023-10-22 00:24:00,Street Light Outage,Streets Department,19119,Closed,11.96,40.01452,-75.15709
1000328,2023-10-24 20:26:00,Graffiti Removal,Streets Department,19148,Closed,6.33,39.94354,-75.20813
1000256,2023-10-25 07:42:00,Traffic Signal Emergency,Parks & Recreation,19123,Closed,21.58,40.03119,-75.18016
1000110,2023-10-28 01:40:00,Traffic Signal Emergency,Streets Department,19106,Closed,15.52,40.03067,-75.20884
1000160,2023-10-29 04:32:00,Maintenance Residential or Commercial,Police Department,19132,Open,12.24,39.88099,-75.17618
1000178,2023-11-02 16:54:00,Maintenance Residential or Commercial,Parks & Recreation,19134,In Progress,9.43,39.86277,-75.13595
1000327,2023-11-02 23:50:00,Rubbish Collection,Police Department,19106,Closed,28.8,39.97871,-75.12207
1000001,2023-11-05 19:47:00,Abandoned Vehicle,Parks & Recreation,19102,Closed,11.46,39.92338,-75.18717
1000086,2023-11-05 21:46:00,Illegal Dumping,Streets Department,19149,Closed,24.22,39.91522,-75.1572
1000057,2023-11-06 17:46:00,Pothole Repair,Parks & Recreation,19149,Open,19.94,39.92263,-75.16968
1000148,2023-11-08 06:30:00,Graffiti Removal,Parks & Recreation,19106,Open,19.37,40.04971,-75.15034
1000215,2023-11-09 17:01:00,Pothole Repair,Parks & Recreation,19146,Closed,13.72,39.89214,-75.15756
1000089,2023-11-10 01:32:00,Traffic Signal Emergency,License & Inspections,19106,In Progress,15.26,39.97824,-75.13976
1000004,2023-11-10 20:04:00,Maintenance Residential or Commercial,Streets Department,19104,Closed,4.99,39.97351,-75.0988
1000143,2023-11-17 21:19:00,Traffic Signal Emergency,Police Department,19139,Closed,21.63,39.92687,-75.0968
1000381,2023-11-20 01:03:00,Traffic Signal Emergency,Streets Department,19121,Closed,9.34,39.94016,-75.20968
1000061,2023-11-20 12:23:00,Rubbish Collection,Streets Department,19149,Closed,9.89,39.95234,-75.13341
1000343,2023-11-21 19:22:00,Traffic Signal Emergency,License & Inspections,19149,Closed,28.13,39.92964,-75.12496
1000198,2023-11-22 14:29:00,Illegal Dumping,Streets Department,19148,Closed,12.79,40.00031,-75.16263
1000079,2023-11-25 04:22:00,Street Light Outage,License & Inspections,19121,Open,0.81,40.01916,-75.2877
1000012,2023-11-25 06:17:00,Graffiti Removal,Police Department,19143,Closed,2.5,39.90016,-75.15835
1000163,2023-12-01 02:57:00,Abandoned Vehicle,Police Department,19139,In Progress,30.05,39.95589,-75.18214
1000330,2023-12-04 13:12:00,Illegal Dumping,Police Department,19121,Closed,14.83,39.89492,-75.07558
1000307,2023-12-04 23:27:00,Pothole Repair,Parks & Recreation,19104,In Progress,8.03,39.93299,-75.21058
1000374,2023-12-05 22:24:00,Street Light Outage,Parks & Recreation,19107,Closed,20.11,39.97034,-75.18843
1000171,2023-12-10 23:05:00,Graffiti Removal,Police Department,19132,Open,32.21,39.96658,-75.13008
1000362,2023-12-11 06:35:00,Rubbish Collection,Parks & Recreation,19139,Open,13.1,39.85549,-75.11734
1000308,2023-12-12 03:24:00,Maintenance Residential or Commercial,Police Department,19104,Closed,4.4,39.92985,-75.14723
1000383,2023-12-17 06:44:00,Abandoned Vehicle,Police Department,19106,Closed,23.19,40.00748,-75.1271
1000391,2023-12-17 21:36:00,Pothole Repair,Streets Department,19125,In Progress,5.72,40.00312,-75.15553
1000007,2023-12-23 09:29:00,Street Light Outage,Parks & Recreation,19147,Closed,8.9,39.92771,-75.19796
1000040,2023-12-24 03:45:00,Pothole Repair,Streets Department,19102,Closed,28.18,39.95472,-75.1638
1000107,2023-12-27 13:10:00,Graffiti Removal,Streets Department,19145,Closed,13.64,39.91175,-75.10224
1000312,2023-12-30 02:06:00,Pothole Repair,Streets Department,19123,Closed,20.65,39.96197,-75.14545
1000367,2024-01-03 00:48:00,Traffic Signal Emergency,Streets Department,19132,Closed,8.21,39.99671,-75.1625
1000236,2024-01-03 05:27:00,Pothole Repair,License & Inspections,19134,Closed,7.8,39.94908,-75.17438
1000300,2024-01-03 21:46:00,Abandoned Vehicle,Streets Department,19134,Closed,13.9,39.93045,-75.25113
1000158,2024-01-06 23:50:00,Street Light Outage,License & Inspections,19146,Closed,20.21,39.90535,-75.16602
1000349,2024-01-14 19:23:00,Street Light Outage,Police Department,19119,Closed,27.76,39.89418,-75.08798
1000211,2024-01-15 08:24:00,Street Light Outage,Police Department,19106,Closed,15.45,39.95515,-75.11131
1000290,2024-01-20 07:25:00,Illegal Dumping,License & Inspections,19148,Closed,11.9,39.86915,-75.08629
1000058,2024-01-20 15:04:00,Traffic Signal Emergency,License & Inspections,19139,In Progress,8.88,39.87664,-75.19546
1000357,2024-01-21 11:46:00,Pothole Repair,Streets Department,19106,Closed,15.77,39.9752,-75.16634
1000340,2024-01-26 16:39:00,Abandoned Vehicle,Parks & Recreation,19102,Closed,14.21,39.94212,-75.23698
1000183,2024-01-27 10:31:00,Pothole Repair,Police Department,19149,Open,14.15,39.92263,-75.09294
1000078,2024-01-28 14:53:00,Traffic Signal Emergency,Streets Department,19102,Closed,26.96,39.99443,-75.11235
1000223,2024-01-29 15:27:00,Street Light Outage,Parks & Recreation,19102,Closed,30.54,39.98002,-75.17664
1000261,2024-01-30 04:13:00,Abandoned Vehicle,Streets Department,19149,Closed,5.5,39.92919,-75.18833
1000212,2024-01-31 23:29:00,Pothole Repair,Police Department,19132,Closed,15.29,39.93183,-75.15328
1000387,2024-01-31 23:48:00,Abandoned Vehicle,Police Department,19134,Closed,5.47,39.94884,-75.09322
1000210,2024-02-02 10:49:00,Traffic Signal Emergency,Parks & Recreation,19147,Closed,13.6,39.98989,-75.11607
1000293,2024-02-04 06:58:00,Abandoned Vehicle,Parks & Recreation,19146,Open,7.13,39.88999,-75.16734
1000242,2024-02-07 01:16:00,Illegal Dumping,Parks & Recreation,19145,Closed,6.95,39.87403,-75.12307
1000181,2024-02-10 06:13:00,Street Light Outage,Parks & Recreation,19147,Closed,5.22,39.8976,-75.19367
1000077,2024-02-11 20:59:00,Graffiti Removal,Parks & Recreation,19130,Closed,5.61,39.99796,-75.11662
1000072,2024-02-13 09:01:00,Traffic Signal Emergency,Police Department,19148,Closed,12.38,39.95194,-75.20884
1000369,2024-02-13 23:34:00,Street Light Outage,Police Department,19149,In Progress,22.7,39.85609,-75.16333
1000206,2024-02-16 06:00:00,Traffic Signal Emergency,Streets Department,19143,Open,24.81,39.8237,-75.11458
1000003,2024-02-16 10:20:00,Rubbish Collection,Police Department,19139,Closed,15.43,40.01325,-75.16685
1000083,2024-02-19 05:34:00,Street Light Outage,License & Inspections,19146,Open,11.91,39.93001,-75.18262
1000024,2024-02-22 16:10:00,Illegal Dumping,License & Inspections,19125,Closed,8.85,39.87257,-75.17911
1000067,2024-02-23 17:31:00,Graffiti Removal,License & Inspections,19107,Closed,9.22,39.86499,-75.15233
1000365,2024-02-24 13:43:00,Traffic Signal Emergency,Parks & Recreation,19107,Closed,19.83,39.97826,-75.15639
1000378,2024-02-25 21:52:00,Abandoned Vehicle,Streets Department,19134,Closed,12.96,39.95078,-75.19645
1000253,2024-02-26 06:43:00,Maintenance Residential or Commercial,Streets Department,19106,Closed,25.23,39.96397,-75.13325
1000282,2024-02-28 02:22:00,Street Light Outage,Parks & Recreation,19146,In Progress,30.71,39.91632,-75.279
1000302,2024-03-01 19:17:00,Traffic Signal Emergency,License & Inspections,19143,Closed,4.3,39.76558,-75.159
1000009,2024-03-02 22:21:00,Abandoned Vehicle,License & Inspections,19130,Closed,3.34,39.94678,-75.16863
1000150,2024-03-06 08:57:00,Graffiti Removal,Police Department,19125,In Progress,14.51,39.89927,-75.11327
1000271,2024-03-07 10:07:00,Traffic Signal Emergency,Police Department,19147,Closed,19.07,39.99711,-75.14882
1000062,2024-03-08 02:52:00,Illegal Dumping,License & Inspections,19139,Closed,18.86,39.959,-75.12249
1000144,2024-03-09 02:58:00,Graffiti Removal,Parks & Recreation,19143,Closed,9.26,39.86006,-75.14185
1000203,2024-03-09 05:36:00,Illegal Dumping,License & Inspections,19121,Open,5.38,39.98773,-75.10473
1000280,2024-03-15 13:25:00,Graffiti Removal,Streets Department,19107,Closed,29.21,39.96702,-75.12984
1000046,2024-03-15 18:48:00,Illegal Dumping,Police Department,19148,Open,14.05,39.9156,-75.1168
1000091,2024-03-19 03:02:00,Abandoned Vehicle,License & Inspections,19119,Closed,17.3,39.86281,-75.16355
1000033,2024-03-20 13:42:00,Maintenance Residential or Commercial,License & Inspections,19123,Open,13.62,39.90864,-75.21718
1000334,2024-03-22 01:49:00,Street Light Outage,Streets Department,19123,Open,24.01,39.97022,-75.20749
1000303,2024-03-22 23:53:00,Illegal Dumping,Police Department,19134,Closed,9.8,39.91446,-75.23526
1000036,2024-03-24 12:01:00,Rubbish Collection,Police Department,19121,Closed,24.71,39.95951,-75.0771
1000310,2024-03-31 07:21:00,Abandoned Vehicle,Streets Department,19143,Open,9.73,39.98899,-75.16197
1000053,2024-04-03 01:21:00,Maintenance Residential or Commercial,Streets Department,19132,Closed,14.02,39.99838,-75.03648
1000375,2024-04-05 07:21:00,Illegal Dumping,License & Inspections,19148,Closed,4.63,39.90111,-75.15608
1000279,2024-04-06 21:37:00,Abandoned Vehicle,Streets Department,19145,Closed,12.06,39.85994,-75.13205
